label,frame,time,x,y,xoffset,yoffset
t1,52,00:00:01,667.0,95.0,24.0,20.0
t1,53,00:00:01,669.0,95.0,24.0,20.0
t1,54,00:00:01,672.0,96.0,24.0,20.0
t1,55,00:00:01,676.0,98.0,24.0,20.0
t1,56,00:00:01,678.0,99.0,24.0,20.0
t1,57,00:00:01,680.0,101.0,24.0,20.0
t1,58,00:00:01,682.0,103.0,24.0,20.0
t1,59,00:00:01,684.0,104.0,24.0,20.0
t1,60,00:00:02,686.0,105.0,24.0,20.0
t1,61,00:00:02,688.0,107.0,24.0,20.0
t1,62,00:00:02,690.0,109.0,24.0,20.0
t1,63,00:00:02,693.0,111.0,24.0,20.0
t1,64,00:00:02,695.0,115.0,24.0,20.0
t1,65,00:00:02,697.0,117.0,24.0,20.0
t1,66,00:00:02,700.0,119.0,24.0,20.0
t1,67,00:00:02,702.0,121.0,24.0,20.0
t1,68,00:00:02,705.0,123.0,24.0,20.0
t1,69,00:00:02,707.0,126.0,24.0,20.0
t1,70,00:00:02,711.0,127.0,24.0,20.0
t1,71,00:00:02,713.0,132.0,24.0,20.0
t1,72,00:00:02,715.0,133.0,24.0,20.0
t1,73,00:00:02,717.0,135.0,24.0,20.0
t1,74,00:00:02,719.0,137.0,24.0,20.0
t1,75,00:00:02,722.0,139.0,24.0,20.0
t1,76,00:00:02,725.0,142.0,24.0,20.0
t1,77,00:00:02,726.0,145.0,24.0,20.0
t1,78,00:00:02,727.0,151.0,24.0,20.0
t1,79,00:00:02,729.0,153.0,24.0,20.0
t1,80,00:00:02,730.0,155.0,24.0,20.0
t1,81,00:00:02,733.0,157.0,24.0,20.0
t1,82,00:00:02,734.0,160.0,24.0,20.0
t1,83,00:00:02,737.0,163.0,24.0,20.0
t1,84,00:00:02,739.0,166.0,24.0,20.0
t1,85,00:00:02,739.0,171.0,24.0,20.0
t1,86,00:00:02,741.0,174.0,24.0,20.0
t1,87,00:00:02,741.0,176.0,24.0,20.0
t1,88,00:00:02,743.0,179.0,24.0,20.0
t1,89,00:00:02,744.0,183.0,24.0,20.0
t1,90,00:00:03,745.0,187.0,24.0,20.0
t1,91,00:00:03,744.0,192.0,24.0,20.0
t1,92,00:00:03,745.0,195.0,24.0,20.0
t1,93,00:00:03,745.0,198.0,24.0,20.0
t1,94,00:00:03,746.0,201.0,24.0,20.0
t1,95,00:00:03,747.0,205.0,24.0,20.0
t1,96,00:00:03,747.0,210.0,24.0,20.0
t1,97,00:00:03,747.0,213.0,24.0,20.0
t1,98,00:00:03,746.0,217.0,24.0,20.0
t1,99,00:00:03,747.0,219.0,24.0,20.0
t1,100,00:00:03,747.0,223.0,24.0,20.0
t1,101,00:00:03,750.0,227.0,24.0,20.0
t1,102,00:00:03,750.0,230.0,24.0,20.0
t1,103,00:00:03,752.0,232.0,24.0,20.0
t1,104,00:00:03,752.0,235.0,24.0,20.0
t1,105,00:00:03,752.0,239.0,24.0,20.0
t1,106,00:00:03,752.0,242.0,24.0,20.0
t1,107,00:00:03,753.0,246.0,24.0,20.0
t1,108,00:00:03,754.0,251.0,24.0,20.0
t1,109,00:00:03,753.0,254.0,24.0,20.0
t1,110,00:00:03,752.0,255.0,24.0,20.0
t1,111,00:00:03,751.0,257.0,24.0,20.0
t1,112,00:00:03,751.0,259.0,24.0,20.0
t1,113,00:00:03,751.0,261.0,24.0,20.0
